ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Super Quiet
  
",4.0 ,Allen Risler,"Reviewed in the United States 🇺🇸 April 13, 2023","







  
  
    I found this unit in search of the quietest AC Unit.  This superior design is like a mini-split.  The window closes down to only open about 4"" which blocks the noisy part of the unit outside.  The first one arrived damaged but was quickly replaced.  Several reviews on YouTube show people using this 12,000 BTU cooling their entire first floor, around 1000 sq ft., even though it is rated for 550 sq ft, so I mounted this one in the living room.  This should significantly reduce the need to run the central AC and save a lot on the electric bill this summer.
  
",Size: 12000 BTUStyle: AC,Size: 12000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Manufacturing Issue
  
",1.0 ,MK53,"Reviewed in the United States 🇺🇸 April 12, 2023","







  
  
    After installing the mounting, we were ready to install the actual unit. We placed it on the mounting and then found that due to a manufacturing issue we couldn’t install a screw. The hole for the screw would not align due to a slight bowing issue. You can see in the second image how the seam/line is bigger near the bottom where it slightly bows out. That then doesn’t allow for an alignment of the hole in the third picture. Extremely frustrating to be moving something this big around just to find it doesn’t work and having to take the mounting down.
  
",Size: 12000 BTUStyle: AC,Size: 12000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    EC 07 Fix! Had issues out of the box but got to work!
  
",3.0 ,Robert Lussier,"Reviewed in the United States 🇺🇸 April 12, 2023","







  
  
    Had issues directly out of the box, error code EC 07. Went through trouble shooting with the company and didn’t really help so decided to trouble shoot myself, noticed the condenser fan was kicking on and looked stuck and blocked. So i opened the back top side and found that the fan was getting stuck on some hard malleable black sticky stuff that was around hard pipes that lead to the condenser. I was able to form what i think is some type of insulation out of the way from the fan which allowed the fan to have enough room to spin. Put the AC back together and now works fine.This saved a trip to return to ups and the headache of getting a replacement.AC now blows cold and is super quiet, other than the above issues I’m satisfied with the product.
  
",Size: 8000 BTUStyle: AC,Size: 8000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    UPDATE EC 07 code FIX
  
",4.0 ,Jason Whitt,"Reviewed in the United States 🇺🇸 April 12, 2023","







  
  
    Review update...I changed my review from a 1 star to a 4 star. After taking the ac apart I noticed some black gooey stuff that was causing the fan not to turn. I moved the goo over and now it works great.Looks nice and blows out really cold air for about 5 minutes then kicked off and showed EC 07 code. The fan isn't working.
  
",Size: 12000 BTUStyle: AC,Size: 12000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    impossible to install
  
",1.0 ,chandler,"Reviewed in the United States 🇺🇸 April 12, 2023","







  
  
    don’t buy this the instructions make absolutely no sense. nightmare of a product. oh and super fun buying it for $400 and then having the price job $70 immediately after
  
",Size: 8000 BTUStyle: AC,Size: 8000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Works as expected.
  
",4.0 ,Steve Q,"Reviewed in the United States 🇺🇸 April 12, 2023","







  
  
    Easy to install. Would’ve been easier if I had a second person to help with it. The part that opens and closes the vent was broken. Had to use tape to keep the vent open. May try some superglue to try and fix the broken part. Could’ve used a bit more insulating foam. Had to order some more. Don’t like the remote control at all. Using the app or the smart speaker to control it works well.
  
",Size: 12000 BTUStyle: AC,Size: 12000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Pretty cool.
  
",5.0 ,Patrick,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    I got this to prevent my overzealous kitten from breaking out of the traditional accordion style window units. This thing is great and is very secure once everything is set up. The breeze it generates is amazing, and it cools my entire large apartment.I got the 12000 BTU and lifted it myself up 3 floors. So far I really like it and am happy I purchased this. I suggest watching install videos vs reading instructions only. It helped me.
  
",Size: 12000 BTUStyle: AC,Size: 12000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Quiet but there are too many air gaps
  
",2.0 ,Preferred Customer,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    Overall it's a good AC unit. It is quiet, so that's the best part. What I don't like is that there are too many gaps even after using all of the foam strips and panels that come with it. The bottom gaps are very obvious. I tried to seal them with duck tape, but apparently that's not enough because where I live, it's always windy, and the wind blows a great amount of dirt into the room from underneath the unit. Although I also used duck tape to seal the top and sides, in addition to the foam that came with it, dirt also comes in from the top and sides. That room, which is being used as a home office, is always so so dirty, as compared to the other bedrooms. I tried to see if I could buy new side panels to try to reinstall the unit in an effort to better seal the gaps, but the manufacturer only sells the thin black foam strips, which can be found anywhere (ex. Lowe's.) They DO NOT sell the side hard foam white panels that have the appearance of foam poster boards but thicker. I even chatted with one of their customer representatives, and they confirmed that they don't sell those. That's ridiculous!
  
",Size: 8000 BTUStyle: AC,Size: 8000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Great
  
",5.0 ,Nathan Bedford,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    Xtra smooth Quality
  
",Size: 12000 BTUStyle: AC,Size: 12000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Pleasure to use, A demon to install, Warranty statement full of loop holes - Buyer Beware
  
",4.0 ,C4DB,"Reviewed in the United States 🇺🇸 April 9, 2023","







  
  
    Read the installation manual and decide if you can install it.  It took me half a day and I've installed a great many window AC's in the last 50 years.  (My Big Bend Texas ranch house has 5 right now.)  It's just a very complex installation that will vary greatly on your specific window and sill design and construction.  It's not the typical unbox, place in window, pull the sides in place and turn it on AC.  As to claims of quiet and energy efficiency:  All Claims are Absolutely True - nothing like it - get the specs from others - 15 on the Energy Star scale (max wattage is only 750) only 42 decibels loud (near silent), and very cold.  Mine arrived in an unblemished box, but upon opening showed signs of poor assembly and negligent packing.  Strongly suggest you buy a third party warranty since Midea's warranty statement has so many expensive loop holes that I believe it to be in violation of the Uniform Commercial Code.  In short - buy it from a company that will install it and service it if you can (not an option in the wilderness where I live).
  
",Size: 8000 BTUStyle: AC,Size: 8000 BTUStyle: AC,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    VERY quiet and I saved $$$ on my electric bill
  
",5.0 颗星，最多 5 颗星,James A. Jancik,评论于 2023年4月9日 在美国 🇺🇸 发布,"







  
  
    I bought my first via Media's GoFundMe page as I was attracted by the claimed very low noise and the use of DC and its lower electrical usage. They both turned out to be VERY true. I bought a second one and with the combined use, the electric bill dropped about 20% in the summer (over our other window units) and you virtually cannot hear it! I just bought my third to replace the unit in my sound studio because of the lack of noise and the Wi-Fi remote app so I can turn it on to cool off the studio before broadcasting/recording. The U-design was really irrelevant to me as I do not plan to open the windows while it is installed. But, it might significantly contribute to the now noise.The cost to buy the two is WAY lower than central air, and the cost to run them would be much lower than the projected electricity cost of the central AC as well.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Great Feature Set and Very Quiet
  
",5.0 颗星，最多 5 颗星,JHH,评论于 2023年4月8日 在美国 🇺🇸 发布,"







  
  
    This is a very good window air conditioning unit, with a very well thought out installation process. It manages to look a bit less obtrusive than typical units of this type. It cools exceedingly well, and is very quiet in operation. The remote control is fully featured and works well. My only gripe is this (and I don't know if it's Midea's fault or Amazon's): the 360° view of the unit shows the exhaust fins as covered by a metal sheet and therefore not visible. In fact, the fins are just as visible on this product as they are on every other window air conditioner on the market. I am annoyed because this was a selling point for me, as it sits near the front of my home, and anything that can reduce ""that window air conditioner look"" would be a big plus. This unit performs so well, however, that I elected to keep it. I did paint the exterior housing and support bracket to match the house, so it blends in much better than out of the box, but I am nonetheless disappointed with the false representation of the product's appearance.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    good ac, bad automation
  
",4.0 颗星，最多 5 颗星,Devon,评论于 2023年4月8日 在美国 🇺🇸 发布,"







  
  
    The app or remote or something is totally not working with this stupid thing. Great cool air though.Not sure what schedule it is running on at this point. I trust I will figure out a tech- complex jerry-rigged fix for it. I might end up using a switchbot to turn it on and off if it comes to it.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Easy to install. But slight flaws
  
",4.0 颗星，最多 5 颗星,Elizabeth,评论于 2023年4月7日 在美国 🇺🇸 发布,"







  
  
    Installed this in about an hour. By myself. The unit is sleek and quiet, but there are some gaps that I can’t quite figure out how to plug up to avoid air coming in and out of the house. I’ve reached out to Midea for guidance.The app is awesome too!
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
