商品名称,价格,会员,级别,评价星级,评价内容,时间,点赞数,评论数,追评时间,追评内容,商品属性,页面网址,页面标题,采集时间,sku,好评度,评价关键词
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    一***草            ,                    PLUS会员             ,star5,安装师傅贼啦用心，高空作业真得是棒棒的，专业，快速，很耐心讲解不懂的地方！！一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！,2023-04-14 22:53,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:00.677,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    j***c            ,                                 ,star5,安装师傳上门非常迅速并且准时，整体售后服务态度非常好，师傅有耐心。安装得非常专业且美观，安装完成有指导使用清理现场。整体服务非常满意。小米售后好，售后服务态度好时效好有保障。此次购机体验非常棒，推荐大家使用小米产品，从购机到售后整体的感觉非常满意，售后好，服务好，产品好！给售后刘师傅点赞！！,2023-04-14 22:39,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:00.751,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    j***2            ,                                 ,star5,速度还是蛮快的 不错,2023-04-14 22:09,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:00.839,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    j***U            ,                    PLUS会员             ,star1,为什么非要逼人种草三次，通过不了还要人发，差评差评差评，一次性买3台买之前说参加种草返现90，现在发了两个还要逼人发第三个，空调都是差不多的为什么要人家发3次，所以系统审核不了，让我发3次有什么意义,2023-04-14 21:58,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:00.915,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    y***T            ,                    PLUS会员             ,star5,安装Ok，服务到位！,2023-04-14 21:15,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:00.986,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    j***x            ,                                 ,star5,安装快，服务好,2023-04-14 20:38,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:01.058,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    m***w            ,                                 ,star5,服务质量：非常好,2023-04-14 20:23,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:01.154,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    P***志            ,                                 ,star5,还没使用，感觉不错，安装服务不错?,2023-04-14 20:21,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:01.234,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    阿***7            ,                    PLUS会员             ,star5,空调非常好，安装服务态度也好。,2023-04-14 20:08,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:01.304,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
"
                                        
                                                                                美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1                ","
                                ￥
                                2669.00
                                                            ",                                    j***q            ,                                 ,star5,商品满意，安装满意,2023-04-14 19:51,0,0,,,【1.5匹】酷省电一级 节能25%                                                                                     ,https://item.jd.com/100043945122.html#none,【美的KFR-35GW/N8KS1-1】美的（Midea）空调 1.5匹 酷省电 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 智能家电 KFR-35GW/N8KS1-1【行情 报价 价格 评测】-京东,2023-04-14 11:33:01.402,100043945122,99%        ,"外观漂亮(150)/
超级省电(132)/
美观大方(119)/
安装师负责(90)/
制冷给力(58)/
功能合理(36)/
声音很轻(35)/
工艺精美(23)/
风大马力足(17)/
节能环保(13)/
使用舒适(10)/
夏季必备(4)/
自带挡风板(1)/"
