商品名,原价,活动价,页面网址,月销量,图片地址,评论时间,评论人,评价内容,追评,追评时间,属性1,属性2,属性3
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN83923zmuymB7mAxzdJYhCQgHkwKMahmmzNHXZXsTkBUPAGYHGJJRddJbNohw6Lpw2tM9DGSSMcLvAo5sysLRnteevAbjHDNkc6KyVpFsSmttUiJLsdz3oPXL
//gw.alicdn.com/imgextra/i4/O1CN012kvReD1P4Ub3OJAoh_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01hXUUuf1P4UauuMxV7_!!0-rate.jpg_110x10000q90.jpg_.webp",13天前,杰**3,酷金，真的很酷，这爆表的颜值，还没试，等装好以后在追评哦,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN83923zmuymB7mAxzdJYhCQgHkwKMahmmzNHXZXsTkBUPAGYHGJJRddJbNohw6Lpw2tM9DGSSMcLvAo5sysLRnteevAbjHDNkc6KyVpFsSmttUiJLsdz3oPXL
//gw.alicdn.com/imgextra/i4/O1CN01L75OsG1P4Ub4QQ52w_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01DFOA6X1P4Ub4QOo4F_!!0-rate.jpg_110x10000q90.jpg_.webp",15天前,杰**3,酷金这款颜值超高，运行速度快，声音也小，安装师傅很专业，必须好评，很推荐这款性价比高,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN84GK7wS8eNyRGvApsYKEGvsK7CMnniiUnHeP9CPcEfoDc2jtP36fMVkHt9EA5jRJRBAeANGCubgS6J2zLwq69hPfqSV9Wi1UYDa5dG9dicwcw8vDMK39xfxWTHv7nomkwoa9Apj6CQ1f8i7KiVfU1ixN6FX4khWJf2H
//gw.alicdn.com/imgextra/i1/O1CN01lQfK4E2CI9a9SxOjq_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01CDgfvS2CI9a9Pvp1o_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i2/O1CN01juPktL2CI9aGVstRu_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01JxPbKz2CI9aEowQGa_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01mGxKn12CI9aCQUgom_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01gmgXX92CI9a9owdDI_!!0-rate.jpg_110x10000q90.jpg_.webp",12天前,林**人,哈哈，终于搬进新家，千挑万选还是选了大美的，样子好看，最近搞活动，买的多也便宜，步梯3楼，师傅也是直接送进门，安装师傅很专业，穿着工服过来，客服小姐姐也是甜甜哒。 ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i4/O1CN0112vDtc1rBBcoClj2a_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01k71Xfd1rBBcskSxUE_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN017gWPZw1rBBctsWI2T_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i2/O1CN011Q4BoQ1rBBcdvEBk6_!!0-rate.jpg_110x10000q90.jpg_.webp",17天前,花**祭,又快到盛夏酷暑了，家里的空调超过8年，该换新了，一直使用美的的空调，节电，静音，变频，使用时间长也不用担心电费，室外机也没噪音运行平稳，要用空调还是美的变频更可靠！ ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i3/O1CN01pJHfou1YIXHbfxDew_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01G9hELD1YIXHczTqJN_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01q12BSH1YIXHcNylvx_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01La9yza1YIXHZ3l5Ge_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01JY6qNj1YIXHaVJ6PZ_!!0-tbbala.jpg_110x10000q90.jpg_.webp",11天前,笛**语,买空调选美的，美的空调是你理想中的选择！发货速度快，安装服务也很到位。优雅的外观，两侧镶金的曲线纹，看起来更加自然完美，运行中基本无声音，开机运转速度快，节能又省电，真是一款好空调！ ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN84GK7wS8eNyRGvApsYKEGvsK7CMnniiV4Mwns84vRofd2jnTewdA4wTXirFHKsbWfofCizaKTsrmvBSj1ikuedemJGVcVKgvM4psJfmJDS396hXLHFhpADU8K6JNdK9NGK54vkCCerrg741gctq8LDLTndP9Qj9AzsT
//gw.alicdn.com/imgextra/i4/O1CN01b6VHWh1UmWk9a0vIJ_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01eXOrA11UmWkDnhES9_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01ePbMjq1UmWk9ZymFs_!!0-tbbala.jpg_110x10000q90.jpg_.webp",1个月前,春**6,这款空调运行速度快，也比较安静，制热制冷效果都很好。主要美的也是大品牌，售后有保障，工作人员很专业。,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN83923zmuymBQ3gdRkR6VYRuZTqY2NEGbqmxpCP1ZQAxeaP8PXLpD4ykeLTfeW1AZ28wA2aeyXAzWTKRR3uAyYUw6qu4xz4ys3cZdPu8if1nupBs2wQ9fmYyz
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png",1个月前,l**n,安装服务：送货及时安装师傅水平高 制冷 热效果：制冷制热效果好 空调，冰箱，净水器，洗衣机都是美的的，官方要考虑送我礼物的呀 ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i4/O1CN01qcLEU51py4fV3m8PB_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01mebZjG1py4fP1ydvY_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01QqjMBq1py4fV3kSP5_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i2/O1CN01s0j2Os1py4fMB7uUQ_!!0-rate.jpg_110x10000q90.jpg_.webp",26天前,姻**粉,很多电器都是在店家这里买的，服务不错，安装师傅也很好,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i4/O1CN01NwYMIK2H6JQDTUFdD_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01b4MgKG2H6JQCiqljr_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN016kmUVT2H6JQKuDI0r_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i2/O1CN01FkrrqF2H6JQJqWuj8_!!0-rate.jpg_110x10000q90.jpg_.webp",7天前,y**c,家人们，谁懂啊咱们就是说我已经买了三台啦，真是太绝啦这个空调，制冷效果那叫一个一级棒儿，外观那叫一个酷炫，还会在入手的。,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN83923zmuymB7mAxzdJYhCQgHkwKMahmmwMSKTGzsn9WVnQodcNRgTJELz6o5ZwTRbq84VPvx1fnmrk81mmTnJ8d9YyJjvsc4T8vsjbGfiiq87WKDmcus6G9r
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png",8天前,张**6,买了三台空调今天安装了.感觉非常好制冷非常快。师傅服务也很好👍 安装服务：非常好👍 ,,, 极地白,,
